,id,title,vote_average,vote_count,release_date,popularity
0,278,The Shawshank Redemption,8.711,29158,1994-09-23,25.3318
1,238,The Godfather,8.685,22026,1972-03-14,26.3705
2,240,The Godfather Part II,8.571,13315,1974-12-20,13.4802
3,424,Schindler's List,8.566,16836,1993-12-15,10.6071
4,389,12 Angry Men,8.548,9503,1957-04-10,9.0143
5,129,Spirited Away,8.534,17608,2001-07-20,15.8954
6,155,The Dark Knight,8.524,34658,2008-07-16,33.2459
7,19404,Dilwale Dulhania Le Jayenge,8.5,4518,1995-10-20,6.8739
8,497,The Green Mile,8.502,18519,1999-12-10,14.272
9,496243,Parasite,8.496,19671,2019-05-30,20.2127
10,122,The Lord of the Rings: The Return of the King,8.49,25626,2003-12-17,19.3789
11,680,Pulp Fiction,8.487,29242,1994-09-10,16.7978
12,372058,Your Name.,8.479,12078,2016-08-26,18.1659
13,13,Forrest Gump,8.463,28810,1994-06-23,32.6138
14,157336,Interstellar,8.462,38181,2014-11-05,35.86
15,429,"The Good, the Bad and the Ugly",8.461,9233,1966-12-22,10.8919
16,769,GoodFellas,8.5,13752,1990-09-12,11.8458
17,346,Seven Samurai,8.451,4017,1954-04-26,7.4517
18,12477,Grave of the Fireflies,8.447,6179,1988-04-16,0.0113
19,637,Life Is Beautiful,8.44,13613,1997-12-20,8.0713
20,550,Fight Club,8.438,30952,1999-10-15,16.2348
21,667257,Impossible Things,8.435,415,2021-06-17,3.1575
22,14537,Harakiri,8.433,1125,1962-09-15,4.6277
23,11216,Cinema Paradiso,8.4,4644,1988-11-17,3.7079
24,598,City of God,8.4,7856,2002-08-30,8.7878
25,120,The Lord of the Rings: The Fellowship of the Ring,8.426,26557,2001-12-18,41.7819
26,539,Psycho,8.422,10599,1960-06-22,11.8264
27,40096,A Dog's Will,8.421,1190,2000-09-15,1.1714
28,510,One Flew Over the Cuckoo's Nest,8.413,11018,1975-11-19,9.5694
29,121,The Lord of the Rings: The Two Towers,8.411,23066,2002-12-18,17.4756
30,696374,Gabriel's Inferno,8.4,2436,2020-05-29,2.6009
31,311,Once Upon a Time in America,8.399,5779,1984-05-23,7.7326
32,255709,Hope,8.399,806,2013-10-02,4.5176
33,324857,Spider-Man: Into the Spider-Verse,8.395,16577,2018-12-06,14.5378
34,4935,Howl's Moving Castle,8.394,10599,2004-09-09,12.2406
35,1891,The Empire Strikes Back,8.394,17800,1980-05-20,5.2899
36,378064,A Silent Voice: The Movie,8.386,4259,2016-09-17,9.3485
37,423,The Pianist,8.38,9751,2002-09-17,7.4234
38,807,Se7en,8.377,22257,1995-09-22,13.3847
39,244786,Whiplash,8.374,16025,2014-10-10,11.3422
40,27205,Inception,8.37,38171,2010-07-15,20.9107
41,724089,Gabriel's Inferno: Part II,8.368,1533,2020-07-31,0.9451
42,770156,Lucy Shimmers and the Prince of Peace,8.4,326,2020-10-19,5.2242
43,1058694,Radical,8.361,481,2023-10-19,3.5655
44,761053,Gabriel's Inferno: Part III,8.359,1069,2020-11-19,3.7644
45,12493,High and Low,8.4,1046,1963-03-01,6.2949
46,567,Rear Window,8.349,6877,1954-08-01,4.5709
47,274,The Silence of the Lambs,8.346,17244,1991-02-14,3.1673
48,569094,Spider-Man: Across the Spider-Verse,8.336,8008,2023-05-31,16.5727
49,620249,The Legend of Hei,8.333,414,2019-08-27,9.6431
50,73,American History X,8.331,12139,1998-07-01,6.933
51,128,Princess Mononoke,8.326,8582,1997-07-12,10.5629
52,105,Back to the Future,8.322,21038,1985-07-03,20.7139
53,1184918,The Wild Robot,8.319,5470,2024-09-12,18.2738
54,15804,A Brighter Summer Day,8.3,362,1991-07-27,5.2058
55,820067,The Quintessential Quintuplets Movie,8.315,424,2022-05-20,5.102
56,372754,Dou kyu sei – Classmates,8.309,418,2016-02-20,4.6273
57,3782,Ikiru,8.3,1252,1952-10-09,5.829
58,10494,Perfect Blue,8.3,2965,1998-02-28,11.5598
59,207,Dead Poets Society,8.301,12013,1989-06-02,10.6628
60,101,Léon: The Professional,8.3,15544,1994-09-14,11.1279
61,1186532,The Forge,8.299,303,2024-08-22,2.4152
62,652837,"Josee, the Tiger and the Fish",8.295,548,2020-12-25,20.7386
63,914,The Great Dictator,8.29,3551,1940-10-15,2.3404
64,599,Sunset Boulevard,8.29,2784,1950-08-10,3.4501
65,533514,Violet Evergarden: The Movie,8.3,464,2020-09-18,4.4998
66,1139087,Once Upon a Studio,8.3,405,2023-09-24,3.4347
67,644479,Dedicated to my ex,8.3,512,2019-11-01,3.0592
68,1356039,Counterattack,8.282,758,2025-02-27,10.6269
69,42269,We All Loved Each Other So Much,8.282,623,1974-12-21,1.4617
70,3082,Modern Times,8.282,3912,1936-02-05,8.6121
71,335,Once Upon a Time in the West,8.278,4661,1968-12-21,6.569
72,1585,It's a Wonderful Life,8.275,4634,1946-12-20,21.6306
73,92321,Hotarubi no Mori e,8.272,1174,2011-09-17,0.0069
74,77338,The Intouchables,8.272,17932,2011-11-02,8.623
75,18491,Neon Genesis Evangelion: The End of Evangelion,8.3,1741,1997-07-19,14.1874
76,28,Apocalypse Now,8.271,8718,1979-05-19,6.702
77,632632,Given,8.268,408,2020-08-22,4.1991
78,901,City Lights,8.264,2342,1931-02-06,8.0215
79,975,Paths of Glory,8.3,3119,1957-10-25,3.0593
80,8587,The Lion King,8.256,19132,1994-06-15,13.5569
81,637920,Miracle in Cell No. 7,8.255,4497,2019-10-10,3.331
